Name,Code
Android 1.5 - Cupcake,A1.5
Android 1.6 - Donut,A1.6
Android 2.0 / 2.1 - Eclair,A2.0
Android 2.2 - Froyo,A2.2
Android 2.3 - Gingerbread,A2.3
Android 3.0 / 3.2 - Honeycomb,A3.0
Android 4.0 - Ice Cream Sandwich,A4.0
Android 4.1 / 4.3 - Jelly Bean,A4.1
Android 4.4 - KitKat,A4.4
Android 5.0 / 5.1 - Lollipop,A5.0
Android 6.0 - Marshmallow,A6.0
Android 7.0 / 7.1 - Nougat,A7.0
Android 8.0 / 8.1 - Oreo,A8.0
Android 9.0 - Pie,A9.0
Android 10 - Quince Tart,A10
Android 11 - Red Velvet Cake,A11
Android 12 - Snow Cone,A12
Android 13 - Tiramisu,A13
Android 14 - Upside Down Cake,A14
Android 15 - Vanilla Ice Cream,A15
Android 16 - Baklava,A16
